,gen,importancia
0,Glyma.01G216200,0.0060202073271474555
1,Glyma.13G201150,0.004971091750591549
2,Glyma.08G102800,0.004526537932989021
3,Glyma.14G207151,0.003477691529439073
4,Glyma.04G184800,0.003377341590768223
5,Glyma.10G123801,0.0029639197012646234
6,Glyma.17G251850,0.0028455952472234087
7,Glyma.06G046100,0.002821018603657907
8,Glyma.05G121150,0.002711342769824122
9,Glyma.16G105350,0.0026759168054025853
10,Glyma.08G135850,0.0026684421704799657
11,Glyma.13G258400,0.0026366158134579504
12,Glyma.03G033100,0.002491236305596683
13,Glyma.14G148250,0.0024492519921371536
14,Glyma.13G101166,0.0023098035290851893
15,Glyma.09G090000,0.0022580217276597704
16,Glyma.08G056000,0.0022541009431720957
17,Glyma.05G069600,0.002222432142150045
18,Glyma.03G207250,0.002207202943179639
19,Glyma.13G159301,0.002198547448550072
20,Glyma.13G115101,0.0021666938528570657
21,Glyma.17G131150,0.0021405503571639926
22,Glyma.15G231000,0.0021202942083916035
23,Glyma.01G029250,0.002078757512285978
24,Glyma.19G100600,0.0020534363932764236
25,Glyma.07G195800,0.0020009206571225307
26,Glyma.07G049250,0.0019678051606181503
27,Glyma.10G093700,0.001953910063622683
28,Glyma.20G210000,0.0019481546146385396
29,Glyma.20G063400,0.0019189142921371717
30,Glyma.01G027200,0.001894211333121242
31,Glyma.12G084551,0.0018903529347270747
32,Glyma.10G038900,0.0018134612940301957
33,Glyma.10G085200,0.0018113450772018571
34,Glyma.07G101866,0.001811326457923954
35,Glyma.06G189300,0.0017815331794675765
36,Glyma.16G176500,0.001769657458968988
37,Glyma.07G160150,0.0017027087039776922
38,Glyma.17G196900,0.0016654815266768698
39,Glyma.05G133466,0.00165934731672191
40,Glyma.03G012400,0.0016155588239681153
41,Glyma.11G064200,0.0016113099226636675
42,Glyma.05G124400,0.0016029900403455736
43,Glyma.15G144900,0.0015511486663242053
44,Glyma.13G122733,0.0015486428511359992
45,Glyma.11G159200,0.001532117861474985
46,Glyma.16G034000,0.001526671440065883
47,Glyma.14G221866,0.0015243129322084514
48,Glyma.09G239950,0.0014905165973406911
49,Glyma.17G184550,0.001468941108946449
50,Glyma.09G034200,0.0014581855714740296
51,Glyma.16G121800,0.001404178370609801
52,Glyma.03G115066,0.0013775956854044104
53,Glyma.20G063700,0.0013759212448762371
54,Glyma.13G289000,0.0013604598248641963
55,Glyma.07G136650,0.001349966598476022
56,Glyma.07G116500,0.0013472618146278938
57,Glyma.06G143600,0.0013368345206144258
58,Glyma.18G099300,0.001334310786513987
59,Glyma.02G180700,0.001323733509752477
60,Glyma.12G051250,0.0013192404683445389
61,Glyma.18G170850,0.0013177433724253756
62,Glyma.09G081551,0.0013170275022917313
63,Glyma.19G022300,0.0013045986728968963
64,Glyma.09G257150,0.0013041753218098852
65,Glyma.11G221300,0.0012807009874035219
66,Glyma.18G088650,0.0012674027158256246
67,Glyma.02G264050,0.0012657887448690552
68,Glyma.05G039600,0.0012602760715734464
69,Glyma.10G269601,0.001235603603734926
70,Glyma.13G039301,0.0012267688491413567
71,Glyma.01G223300,0.001226380727325727
72,Glyma.13G142700,0.0012244178090205665
73,Glyma.09G110950,0.0012158597782310748
74,Glyma.18G095850,0.001208203285145443
75,Glyma.13G001450,0.0012022893261940913
76,Glyma.12G126700,0.0012004592684204877
77,Glyma.10G238250,0.0011945716748348234
78,Glyma.19G111550,0.0011785007506022814
79,Glyma.02G183451,0.001172991111800928
80,Glyma.09G174500,0.0011627241176067555
81,Glyma.15G132100,0.0011612985059428584
82,Glyma.04G054800,0.0011582449590267995
83,Glyma.01G111400,0.001143487041908748
84,Glyma.08G317750,0.0011378656078528384
85,Glyma.01G063750,0.0011373824765728618
86,Glyma.13G268700,0.001134392211589587
87,Glyma.06G197100,0.0011334998365414785
88,Glyma.17G208900,0.0011312930213942657
89,Glyma.18G299300,0.0011148550520977743
90,Glyma.02G023000,0.0010736576540629525
91,Glyma.08G243951,0.001069847161582218
92,Glyma.08G003600,0.0010609599138866872
93,Glyma.08G348250,0.0010584053680240308
94,Glyma.17G232280,0.0010582692728864475
95,Glyma.05G064250,0.001050379041930315
96,Glyma.09G163300,0.0010454950221418415
97,Glyma.16G011701,0.001033102093814859
98,Glyma.11G052402,0.0010229043493588514
99,Glyma.18G105800,0.0009876388362098677
100,Glyma.08G223600,0.0009869960616655435
101,Glyma.02G246700,0.0009858559925336344
102,Glyma.13G165100,0.0009842901626913186
103,Glyma.01G036400,0.0009787982488175494
104,Glyma.09G155300,0.0009749172106860688
105,Glyma.08G254850,0.0009721934765541056
106,Glyma.13G232300,0.0009637678167248976
107,Glyma.06G272600,0.0009427666555560814
108,Glyma.20G220500,0.0009426248818866496
109,Glyma.06G307400,0.0009405741729748248
110,Glyma.13G275350,0.0009381673705276728
111,Glyma.10G105966,0.0009336597814503023
112,Glyma.19G035500,0.0009277233363695446
113,Glyma.09G074732,0.0009273536540437284
114,Glyma.11G173446,0.0009168437629612119
115,Glyma.07G071600,0.0009126290022262175
116,Glyma.07G210950,0.0009077352943656728
117,Glyma.14G146500,0.0008915585712858699
118,Glyma.14G037700,0.0008872242942410069
