Gene
Glyma.04G131100
Glyma.08G105500
Glyma.17G244000
Glyma.08G050400
Glyma.U031124
Glyma.14G049000
Glyma.05G153200
Glyma.06G070900
Glyma.14G087200
Glyma.06G085000
