Gene,importance
Glyma.19G026000
Glyma.04G026400
Glyma.14G209400
Glyma.07G089300
Glyma.03G160100
Glyma.09G147200
Glyma.06G102100
Glyma.13G060600
Glyma.15G183000
Glyma.19G016400
