,0
319,SAMN09715815
320,SAMN09715816
321,SAMN09715818
322,SAMN09715819
323,SAMN09715820
324,SAMN09715821
325,SAMN09715822
326,SAMN09715823
327,SAMN09715824
328,SAMN09715825
329,SAMN09715829
330,SAMN09715831
331,SAMN09715832
332,SAMN09715833
333,SAMN09715835
334,SAMN09715836
335,SAMN09715837
336,SAMN09715838
337,SAMN09715839
338,SAMN09715840
339,SAMN09715842
340,SAMN09715843
341,SAMN09715844
342,SAMN09715845
343,SAMN09715846
344,SAMN09715847
345,SAMN09715848
346,SAMN09715849
347,SAMN09715850
348,SAMN09715851
349,SAMN09715852
350,SAMN09715853
351,SAMN09715854
352,SAMN09715855
353,SAMN09715856
354,SAMN09715857
355,SAMN09715859
356,SAMN09715861
357,SAMN09715862
358,SAMN09715863
359,SAMN09715864
360,SAMN09715866
361,SAMN09715870
362,SAMN09715871
363,SAMN09715873
364,SAMN09715874
365,SAMN09715875
366,SAMN09715876
367,SAMN09715877
368,SAMN09715878
369,SAMN09715879
370,SAMN09715880
371,SAMN09715881
372,SAMN09715882
373,SAMN09715883
374,SAMN09715884
375,SAMN09715885
376,SAMN09715886
377,SAMN09715887
378,SAMN09715888
379,SAMN09715891
380,SAMN09715892
381,SAMN09715893
382,SAMN09715894
383,SAMN09715895
384,SAMN09715897
385,SAMN09715898
386,SAMN09715899
387,SAMN09715900
388,SAMN09715901
389,SAMN09715902
390,SAMN09715905
391,SAMN09715906
392,SAMN09715907
393,SAMN09715908
394,SAMN09715910
395,SAMN09715911
396,SAMN09715912
397,SAMN09715913
398,SAMN09715914
399,SAMN09715916
400,SAMN09715918
401,SAMN09715919
402,SAMN09715920
403,SAMN09715922
404,SAMN09715923
405,SAMN09715924
406,SAMN09715926
407,SAMN09715927
408,SAMN09715928
409,SAMN09715929
410,SAMN09715930
411,SAMN09715932
412,SAMN09715934
413,SAMN09715935
414,SAMN09715937
415,SAMN09715938
416,SAMN09715939
417,SAMN09715941
418,SAMN09715942
419,SAMN09715943
420,SAMN09715944
421,SAMN09715945
422,SAMN09715946
423,SAMN09715948
424,SAMN09715949
425,SAMN09715950
426,SAMN09715953
427,SAMN09715954
428,SAMN09715956
429,SAMN09715957
430,SAMN09715958
