Control/Treated,BioSample
con,SAMN36663982
con,SAMN36663983
con,SAMN36663984
con,SAMN36663985
con,SAMN36663986
con,SAMN36663977
con,SAMN36663978
stress,SAMN31760278
stress,SAMN31760280
stress,SAMN31760281
stress,SAMN31760282
stress,SAMN31760279
stress,SAMN31760283
stress,SAMN31760284
stress,SAMN31760285
stress,SAMN31760286
con,SAMN31760287
con,SAMN31760288
con,SAMN31760289
stress,SAMN31760290
stress,SAMN31760291
stress,SAMN31760292
stress,SAMN31760293
stress,SAMN31760294
stress,SAMN31760295
stress,SAMN31760296
stress,SAMN31760297
stress,SAMN31760298
con,SAMN31760299
con,SAMN31760300
con,SAMN31760301
stress,SAMN31760303
stress,SAMN31760304
stress,SAMN31760305
stress,SAMN31760302
stress,SAMN31760306
stress,SAMN31760307
stress,SAMN31760308
stress,SAMN31760309
con,SAMN31760311
con,SAMN31760312
con,SAMN31760313
stress,SAMN31760310
stress,SAMN31760314
stress,SAMN31760315
stress,SAMN31760316
stress,SAMN31760317
stress,SAMN31760319
stress,SAMN31760320
stress,SAMN31760321
stress,SAMN31760318
stress,SAMN31760322
con,SAMN31760323
con,SAMN31760324
con,SAMN31760325
stress,SAMN36719878
stress,SAMN36719890
stress,SAMN36719950
con,SAMN33574159
con,SAMN33574157
con,SAMN33574155
con,SAMN33574153
con,SAMN33574161
con,SAMN33574151
stress,SAMN37004687
stress,SAMN37004688
con,SAMN37004689
con,SAMN37004690
stress,SAMN37004691
stress,SAMN37004692
con,SAMN37004693
con,SAMN37004694
stress,SAMN37004695
stress,SAMN37004696
con,SAMN37004697
con,SAMN37004698
stress,SAMN37004699
stress,SAMN37004700
con,SAMN37004701
con,SAMN37004702
stress,SAMN37004703
stress,SAMN37004704
con,SAMN37004705
con,SAMN37004706
stress,SAMN37004707
stress,SAMN37004708
con,SAMN37004709
con,SAMN37004710
stress,SAMN37004711
stress,SAMN37004712
con,SAMN37004713
con,SAMN37004714
stress,SAMN37004715
stress,SAMN37004716
con,SAMN37004717
con,SAMN37004718
stress,SAMN37004719
stress,SAMN37004720
con,SAMN37004721
con,SAMN37004722
stress,SAMN37004723
stress,SAMN37004724
con,SAMN37004725
con,SAMN37004726
stress,SAMN37004727
stress,SAMN37004728
con,SAMN37004729
con,SAMN37004730
stress,SAMN37004731
stress,SAMN37004732
con,SAMN37004733
con,SAMN37004734
stress,SAMN37004735
stress,SAMN37004736
con,SAMN37004737
con,SAMN37004738
stress,SAMN37004739
stress,SAMN37004740
con,SAMN37004741
con,SAMN37004742
stress,SAMN37004743
stress,SAMN37004744
con,SAMN37004745
con,SAMN37004746
stress,SAMN37004683
stress,SAMN37004684
con,SAMN37004685
con,SAMN37004686
con,SAMN31632530
stress,SAMN31632529
stress,SAMN31632528
con,SAMN31632527
stress,SAMN31632526
stress,SAMN31632525
con,SAMN31632524
stress,SAMN31632523
stress,SAMN31632532
stress,SAMN31632531
stress,SAMN31632522
con,SAMN31632521
,SAMN36894345
,SAMN36894344
,SAMN36894343
,SAMN36894342
,SAMN36894341
,SAMN36894340
,SAMN36894370
,SAMN36894369
,SAMN36894368
,SAMN36894367
,SAMN36894366
,SAMN36894339
,SAMN36894365
,SAMN36894364
,SAMN36894363
,SAMN36894362
,SAMN36894361
,SAMN36894360
,SAMN36894359
,SAMN36894358
,SAMN36894357
,SAMN36894356
,SAMN36894338
,SAMN36894355
,SAMN36894354
,SAMN36894353
,SAMN36894352
,SAMN36894351
,SAMN36894350
,SAMN36894349
,SAMN36894348
,SAMN36894347
,SAMN36894346
,SAMN36894337
,SAMN36894336
,SAMN31709634
,SAMN31709634
,SAMN31709634
,SAMN31709634
,SAMN31709634
,SAMN31709634
stress,SAMN30202750
stress,SAMN30202749
stress,SAMN30202748
,SAMN34136064
,SAMN34136064
,SAMN34136064
,SAMN34136063
,SAMN34136063
,SAMN34136063
,SAMN34136070
,SAMN34136070
,SAMN34136070
,SAMN34136069
,SAMN34136069
,SAMN34136069
,SAMN34136068
,SAMN34136068
,SAMN34136068
,SAMN34136067
,SAMN34136067
,SAMN34136067
,SAMN34136066
,SAMN34136066
,SAMN34136066
,SAMN34136138
,SAMN34136138
,SAMN34136138
,SAMN34136139
,SAMN34136139
,SAMN34136139
,SAMN33590280
,SAMN33590279
,SAMN33590278
,SAMN33590277
,SAMN33590276
,SAMN33590275
,SAMN33590274
,SAMN33590273
,SAMN33590282
,SAMN33590281
,SAMN33590272
,SAMN33585641
,SAMN36780229
,SAMN36780228
,SAMN36780227
,SAMN36780226
,SAMN36780225
,SAMN36780224
,SAMN36780223
,SAMN36780222
,SAMN36780231
,SAMN36780230
,SAMN36780221
,SAMN36780220
,SAMN33560460
,SAMN33560459
,SAMN33560454
,SAMN33560453
,SAMN33560465
,SAMN33560464
,SAMN33560463
,SAMN33560462
,SAMN33560461
,SAMN33560452
,SAMN33560451
,SAMN34042794
,SAMN34042793
,SAMN34042792
,SAMN34042791
,SAMN34042790
,SAMN34042789
,SAMN32064349
,SAMN32064350
,SAMN32064351
,SAMN32064352
,SAMN32064353
,SAMN32064354
,SAMN32064355
,SAMN32064356
,SAMN32064357
,SAMN32064358
,SAMN32064359
,SAMN32064360
,SAMN32064361
,SAMN32064362
,SAMN32064363
,SAMN32064364
,SAMN32064365
,SAMN32064366
stress,SAMN27752753
stress,SAMN27752753
stress,SAMN27752753
stress,SAMN27752753
stress,SAMN27752753
stress,SAMN27752753
stress,SAMN27752753
stress,SAMN27752753
stress,SAMN27752753
,SAMN30192812
,SAMN30192811
,SAMN30192810
,SAMN30192809
,SAMN30192808
,SAMN30192807
,SAMN30192806
,SAMN30192805
,SAMN30192820
,SAMN30192819
,SAMN30192818
,SAMN30192817
,SAMN30192816
,SAMN30192815
,SAMN30192814
,SAMN30192813
,SAMN30192804
,SAMN30192803
,SAMN30227631
,SAMN30227630
,SAMN30227629
,SAMN30227628
,SAMN30227627
,SAMN30227626
,SAMN30227625
,SAMN30227645
,SAMN30227644
,SAMN30227643
,SAMN30227642
,SAMN30227624
,SAMN30227641
,SAMN30227640
,SAMN30227639
,SAMN30227638
,SAMN30227637
,SAMN30227636
,SAMN30227635
,SAMN30227634
,SAMN30227633
,SAMN30227632
,SAMN30227623
,SAMN30227622
,SAMN37223633
,SAMN37223632
,SAMN37223631
,SAMN37223630
,SAMN37223629
,SAMN37223628
,SAMN37223627
,SAMN37223626
,SAMN37223635
,SAMN37223634
,SAMN37223625
,SAMN37223624
,SAMN33988721
,SAMN33988719
,SAMN33988718
,SAMN33988720
,SAMN33988717
,SAMN33988716
,SAMN33988738
,SAMN33988736
,SAMN33988735
,SAMN33988737
,SAMN33988715
,SAMN33988734
,SAMN33988733
,SAMN33988714
,SAMN33988730
,SAMN33988729
,SAMN33988731
,SAMN33988732
,SAMN33988728
,SAMN33988727
,SAMN33988725
,SAMN33988723
,SAMN33988722
,SAMN33988724
,SAMN33988726
,SAMN33988713
,SAMN33988712
,SAMN30164310
,SAMN30164309
,SAMN30164308
,SAMN30164307
,SAMN30164306
,SAMN30164305
,SAMN33927113
,SAMN33927112
,SAMN33927111
,SAMN33927110
,SAMN33927109
,SAMN33927108
,SAMN33927107
,SAMN33927124
,SAMN33927106
,SAMN33927123
,SAMN33927122
,SAMN33927121
,SAMN33927120
,SAMN33927119
,SAMN33927118
,SAMN33927117
,SAMN33927116
,SAMN33927115
,SAMN33927114
,SAMN33927105
,SAMN33927104
,SAMN34045328
,SAMN34062139
,SAMN34062140
,SAMN34062141
,SAMN34062142
,SAMN34062143
,SAMN34062144
,SAMN34062145
,SAMN34062146
,SAMN34062147
,SAMN32153645
,SAMN32153644
,SAMN32153643
,SAMN32153573
,SAMN32153689
,SAMN32153688
,SAMN32153687
,SAMN32153686
,SAMN32153685
,SAMN32153684
,SAMN32153683
,SAMN32153682
,SAMN32153681
,SAMN32153680
,SAMN32153572
,SAMN32153679
,SAMN32153678
,SAMN32153677
,SAMN32153676
,SAMN32153675
,SAMN32153674
,SAMN32153673
,SAMN32153672
,SAMN32153671
,SAMN32153670
,SAMN32153571
,SAMN32153669
,SAMN32153668
,SAMN32153667
,SAMN32153666
,SAMN32153665
,SAMN32153664
,SAMN32153663
,SAMN32153662
,SAMN32153661
,SAMN32153660
,SAMN32153570
,SAMN32153561
,SAMN32153560
,SAMN07637898
,SAMN07637897
,SAMN07637918
,SAMN07637912
,SAMN07637921
,SAMN07637919
,SAMN07637900
,SAMN07637899
,SAMN07637910
,SAMN07637909
,SAMN07637806
,SAMN07637808
,SAMN07637809
,SAMN07637828
,SAMN07637373
,SAMN07637375
,SAMN07637848
,SAMN07637847
,SAMN07637875
,SAMN07637874
,SAMN07637877
,SAMN07637876
,SAMN07637868
,SAMN07637849
,SAMN07637873
,SAMN07637870
,SAMN00750159
,SAMN00750160
,SAMN07759888
,SAMN07759888
,SAMN07759887
,SAMN07759887
,SAMEA4395172
,SAMEA4395173
,SAMEA4395174
,SAMEA4395175
,SAMEA4395176
,SAMEA4395177
,SAMEA4395178
,SAMEA4395179
,SAMEA4395180
,SAMEA4395181
,SAMEA4395182
,SAMEA4395183
stress,SAMN06811800
stress,SAMN06811800
stress,SAMN06811800
stress,SAMN06811800
stress,SAMN06811800
stress,SAMN06811800
con,SAMN06812015
con,SAMN06812015
con,SAMN06811800
con,SAMN06811800
stress,SAMN06812015
stress,SAMN06812015
con,SAMN06812015
con,SAMN06812015
stress,SAMN06812015
stress,SAMN06812015
stress,SAMN06812015
stress,SAMN06812015
con,SAMN06812015
con,SAMN06812015
con,SAMN06811800
con,SAMN06811800
con,SAMN06811800
con,SAMN06811800
,SAMN07436709
,SAMN07436708
,SAMN07436707
,SAMN07436706
,SAMN05590088
,SAMN05590098
,SAMN05590099
,SAMN05590100
,SAMN05590090
,SAMN05590093
,SAMN05590094
con,SAMN05580209
con,SAMN05580210
con,SAMN05580200
con,SAMN05580211
con,SAMN05580205
con,SAMN05580204
con,SAMN05580214
con,SAMN05580213
con,SAMN05580197
con,SAMN05580196
con,SAMN05580237
con,SAMN05580236
con,SAMN05580212
con,SAMN05580199
con,SAMN05580198
,SAMN05580235
,SAMN05580234
,SAMN05580233
con,SAMN05580232
con,SAMN05580231
,SAMN05580229
,SAMN05580228
,SAMN05580227
con,SAMN05580226
con,SAMN05580225
,SAMN05580222
,SAMN05580221
con,SAMN05580220
con,SAMN05580218
con,SAMN05580217
con,SAMN05580216
stress,SAMN03755601
stress,SAMN03755602
stress,SAMN03755603
con,SAMN03755604
con,SAMN03755605
con,SAMN03755606
stress,SAMN03755607
stress,SAMN03755608
stress,SAMN03755609
con,SAMN03755610
con,SAMN03755611
con,SAMN03755612
stress,SAMN03755613
stress,SAMN03755614
stress,SAMN03755615
con,SAMN03755616
con,SAMN03755617
con,SAMN03755618
stress,SAMN03755619
stress,SAMN03755620
stress,SAMN03755621
con,SAMN03755622
con,SAMN03755623
con,SAMN03755624
stress,SAMN03755625
stress,SAMN03755626
stress,SAMN03755627
con,SAMN03755628
con,SAMN03755629
con,SAMN03755630
stress,SAMN03755595
stress,SAMN03755596
stress,SAMN03755597
con,SAMN03755598
con,SAMN03755599
con,SAMN03755600
,SAMN03761630
,SAMN03761631
,SAMN03761632
,SAMN03761633
con,SAMN03761634
con,SAMN03761635
con,SAMN03761636
con,SAMN03761637
stress,SAMN03761638
stress,SAMN03761639
stress,SAMN03761640
stress,SAMN03761641
con,SAMN03761646
con,SAMN03761647
con,SAMN03761648
con,SAMN03761649
stress,SAMN03761650
stress,SAMN03761651
stress,SAMN03761652
stress,SAMN03761653
stress,SAMN00622436
stress,SAMN00622437
stress,SAMN00622438
,SAMN03784697
,SAMN03785538
,SAMN03793157
,SAMN03793158
con,SAMN03797939
