Control/Treated,BioSample
,SAMN09715966
,SAMN09715965
,SAMN09715964
,SAMN09715963
,SAMN09715962
,SAMN09715961
,SAMN09716025
,SAMN09716024
,SAMN09716022
,SAMN09716021
,SAMN09716020
,SAMN09716019
,SAMN09716018
,SAMN09716016
,SAMN09716015
,SAMN09716014
,SAMN09716013
,SAMN09716012
,SAMN09716010
,SAMN09716009
,SAMN09716008
,SAMN09716007
,SAMN09716003
,SAMN09715939
,SAMN09715938
,SAMN09715937
,SAMN09716006
,SAMN09716005
,SAMN09716004
,SAMN09715992
,SAMN09715990
,SAMN09715989
,SAMN09715988
,SAMN09715987
,SAMN09715986
,SAMN09715985
,SAMN09715984
,SAMN09715983
,SAMN09715981
,SAMN09715980
,SAMN09715979
,SAMN09715978
,SAMN09715977
,SAMN09715976
,SAMN09715975
,SAMN09715974
,SAMN09715973
,SAMN09715972
,SAMN09715971
,SAMN09715892
,SAMN09715891
,SAMN09715888
,SAMN09715887
,SAMN09715886
,SAMN09715885
,SAMN09715884
,SAMN09715883
,SAMN09715882
,SAMN09715881
,SAMN09715935
,SAMN09715934
,SAMN09715932
,SAMN09715930
,SAMN09715929
,SAMN09715928
,SAMN09715927
,SAMN09715926
,SAMN09715924
,SAMN09715923
,SAMN09715922
,SAMN09715849
,SAMN09715848
,SAMN09715847
,SAMN09715846
,SAMN09715920
,SAMN09715919
,SAMN09715918
,SAMN09715845
,SAMN09715844
,SAMN09715843
,SAMN09715842
,SAMN09715840
,SAMN09715839
,SAMN09715838
,SAMN09715837
,SAMN09715836
,SAMN09715908
,SAMN09715907
,SAMN09715906
,SAMN09715905
,SAMN09715902
,SAMN09715901
,SAMN09715900
,SAMN09715899
,SAMN09715898
,SAMN09715897
,SAMN09715893
,SAMN09715916
,SAMN09715914
,SAMN09715895
,SAMN09715894
,SAMN09715913
,SAMN09715912
,SAMN09715911
,SAMN09715910
,SAMN09715960
,SAMN09715959
,SAMN09715958
,SAMN09715957
,SAMN09715956
,SAMN09715954
,SAMN09715953
,SAMN09715950
,SAMN09715949
,SAMN09715948
,SAMN09715946
,SAMN09715945
,SAMN09715943
,SAMN09715942
,SAMN09715941
,SAMN09715879
,SAMN09715878
,SAMN09715944
,SAMN09715877
,SAMN09715876
,SAMN09715875
,SAMN09715874
,SAMN09715873
,SAMN09715871
,SAMN09715870
,SAMN09715866
,SAMN09715864
,SAMN09715863
,SAMN09715862
,SAMN09715861
,SAMN09715859
,SAMN09715857
,SAMN09715856
,SAMN09715855
,SAMN09715854
,SAMN09715853
,SAMN09715852
,SAMN09715851
,SAMN09715850
,SAMN09715787
,SAMN09715786
,SAMN09715785
,SAMN09715784
,SAMN09715783
,SAMN09715835
,SAMN09715833
,SAMN09715832
,SAMN09715831
,SAMN09715829
,SAMN09715825
,SAMN09715824
,SAMN09715823
,SAMN09715822
,SAMN09715821
,SAMN09715820
,SAMN09715819
,SAMN09715818
,SAMN09715816
,SAMN09715815
,SAMN09715814
,SAMN09715812
,SAMN09715880
,SAMN09715755
,SAMN09715753
,SAMN09715752
,SAMN09715811
,SAMN09715810
,SAMN09715809
,SAMN09715808
,SAMN09715807
,SAMN09715805
,SAMN09715804
,SAMN09715803
,SAMN09715802
,SAMN09715801
,SAMN09715800
,SAMN09715799
,SAMN09715798
,SAMN09715796
,SAMN09715795
,SAMN09715794
,SAMN09715793
,SAMN09715792
,SAMN09715791
,SAMN09715790
,SAMN09715789
,SAMN09715788
,SAMN09715728
,SAMN09715727
,SAMN09715726
,SAMN09715782
,SAMN09715781
,SAMN09715780
,SAMN09715779
,SAMN09715778
,SAMN09715777
,SAMN09715775
,SAMN09715774
,SAMN09715773
,SAMN09715772
,SAMN09715771
,SAMN09715770
,SAMN09715769
,SAMN09715768
,SAMN09715767
,SAMN09715765
,SAMN09715764
,SAMN09715763
,SAMN09715762
,SAMN09715761
,SAMN09715760
,SAMN09715758
,SAMN09715757
,SAMN09715696
,SAMN09715689
,SAMN09715695
,SAMN09715694
,SAMN09715693
,SAMN09715692
,SAMN09715691
,SAMN09715690
,SAMN09715750
,SAMN09715749
,SAMN09715748
,SAMN09715747
,SAMN09715745
,SAMN09715744
,SAMN09715741
,SAMN09715740
,SAMN09715739
,SAMN09715738
,SAMN09715736
,SAMN09715734
,SAMN09715733
,SAMN09715732
,SAMN09715730
,SAMN09715729
,SAMN09715725
,SAMN09715723
,SAMN09715722
,SAMN09715721
,SAMN09715718
,SAMN09715717
,SAMN09715715
,SAMN09715714
,SAMN09715713
,SAMN09715712
,SAMN09715711
,SAMN09715709
,SAMN09715708
,SAMN09715707
,SAMN09715706
,SAMN09715704
,SAMN09715703
,SAMN09715702
,SAMN09715700
,SAMN09715698
,SAMN09715697
,SAMN09715688
,SAMN09715687
,SAMN09715686
,SAMN09715685
,SAMN09715684
,SAMN09715682
,SAMN09715681
,SAMN09715678
,SAMN09715676
,SAMN09715675
,SAMN09715674
,SAMN09715673
,SAMN09715672
,SAMN09715671
,SAMN09715670
,SAMN09715669
,SAMN09715668
,SAMN09715667
,SAMN09715665
,SAMN09715664
,SAMN09715663
,SAMN09715662
,SAMN09715661
,SAMN09715660
,SAMN09715659
,SAMN09715651
,SAMN09715650
,SAMN09715649
,SAMN09715646
,SAMN09715645
,SAMN09715644
,SAMN09715643
,SAMN09715641
,SAMN09715640
,SAMN09715639
,SAMN09715638
,SAMN09715637
,SAMN09715636
,SAMN09715635
,SAMN09715634
,SAMN09715633
,SAMN09715632
,SAMN09715631
,SAMN09715628
,SAMN09715627
,SAMN09715626
,SAMN09715625
,SAMN09715613
,SAMN09715590
,SAMN09715612
,SAMN09715595
,SAMN09715593
,SAMN09715592
,SAMN09715591
,SAMN09715589
,SAMN09715588
,SAMN09715587
,SAMN09715586
,SAMN09715585
,SAMN09715584
,SAMN09715583
,SAMN09715582
,SAMN09715581
,SAMN09715580
,SAMN09715579
,SAMN09715578
,SAMN09715577
,SAMN09715576
,SAMN09715575
,SAMN09715574
,SAMN09715657
,SAMN09715656
,SAMN09715655
,SAMN09715654
,SAMN09715653
,SAMN09715622
,SAMN09715621
,SAMN09715620
,SAMN09715619
,SAMN09715617
,SAMN09715616
,SAMN09715615
,SAMN09715614
,SAMN09716551
,SAMN09716550
,SAMN09716549
,SAMN09716548
,SAMN09716591
,SAMN09716590
,SAMN09716589
,SAMN09716588
,SAMN09716586
,SAMN09716584
,SAMN09716583
,SAMN09716582
,SAMN09716581
,SAMN09716579
,SAMN09716578
,SAMN09716577
,SAMN09716576
,SAMN09716525
,SAMN09716575
,SAMN09716523
,SAMN09716522
,SAMN09716521
,SAMN09716520
,SAMN09716519
,SAMN09716573
,SAMN09716572
,SAMN09716571
,SAMN09716570
,SAMN09716569
,SAMN09716568
,SAMN09716566
,SAMN09716565
,SAMN09716564
,SAMN09716563
,SAMN09716562
,SAMN09716561
,SAMN09716559
,SAMN09716558
,SAMN09716557
,SAMN09716555
,SAMN09716554
,SAMN09716553
,SAMN09716498
,SAMN09716497
,SAMN09716496
,SAMN09716495
,SAMN09716493
,SAMN09716492
,SAMN09716491
,SAMN09716547
,SAMN09716546
,SAMN09716545
,SAMN09716543
,SAMN09716542
,SAMN09716540
,SAMN09716536
,SAMN09716535
,SAMN09716534
,SAMN09716533
,SAMN09716532
,SAMN09716530
,SAMN09716529
,SAMN09716528
,SAMN09716527
,SAMN09716464
,SAMN09716463
,SAMN09716470
,SAMN09716469
,SAMN09716467
,SAMN09716466
,SAMN09716465
,SAMN09716462
,SAMN09716518
,SAMN09716517
,SAMN09716515
,SAMN09716514
,SAMN09716513
,SAMN09716512
,SAMN09716511
,SAMN09716510
,SAMN09716508
,SAMN09716507
,SAMN09716506
,SAMN09716505
,SAMN09716504
,SAMN09716503
,SAMN09716502
,SAMN09716501
,SAMN09716500
,SAMN09716499
,SAMN09716445
,SAMN09716444
,SAMN09716443
,SAMN09716442
,SAMN09716441
,SAMN09716440
,SAMN09716439
,SAMN09716437
,SAMN09716436
,SAMN09716488
,SAMN09716487
,SAMN09716485
,SAMN09716484
,SAMN09716482
,SAMN09716481
,SAMN09716479
,SAMN09716458
,SAMN09716456
,SAMN09716455
,SAMN09716453
,SAMN12419115
,SAMN12419114
,SAMN12419116
,SAMN12419101
,SAMN12419100
,SAMN12419099
,SAMN12419098
,SAMN12419097
,SAMN12419096
,SAMN12419095
,SAMN12419094
,SAMN12419103
,SAMN12419102
,SAMN12419089
,SAMN12419088
,SAMN12419091
,SAMN12419090
,SAMN12419085
,SAMN12419084
,SAMN12419087
,SAMN12419086
,SAMN12419093
,SAMN12419092
,SAMN12419112
,SAMN12419113
,SAMN12419110
,SAMN12419111
,SAMN12419108
,SAMN12419109
,SAMN12419106
,SAMN12419107
,SAMN12419104
,SAMN12419105
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN10787355
,SAMN16238408
,SAMN16238407
,SAMN16238406
,SAMN16238405
,SAMN16238404
,SAMN16238403
,SAMN16238402
,SAMN16238401
,SAMN16238418
,SAMN16238417
,SAMN16238416
,SAMN16238415
,SAMN16238414
,SAMN16238413
,SAMN16238412
,SAMN16238411
,SAMN16238410
,SAMN16238409
,SAMN16238400
,SAMN16238399
,SAMN16483345
,SAMN16483344
,SAMN16483343
,SAMN16483342
,SAMN16483341
,SAMN16483340
,SAMN16483339
,SAMN16483338
,SAMN16483353
,SAMN16483352
,SAMN16483351
,SAMN16483350
,SAMN16483349
,SAMN16483348
,SAMN16483347
,SAMN16483346
,SAMN16483337
,SAMN16483336
,SAMN16522682
,SAMN16522681
,SAMN16522680
,SAMN16522679
,SAMN16522678
,SAMN16522677
,SAMN16522676
,SAMN16522726
,SAMN16522725
,SAMN16522724
,SAMN16522723
,SAMN16522722
,SAMN14360510
,SAMN14360509
,SAMN14360508
,SAMN14360507
,SAMN14360506
,SAMN14360505
,SAMN14360504
,SAMN14360503
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN13977585
,SAMN19882154
,SAMN19882153
,SAMN19882152
,SAMN19882151
,SAMN19882150
,SAMN19882149
stress,SAMN16113912
stress,SAMN16113912
stress,SAMN16113912
stress,SAMN16113911
stress,SAMN16113911
stress,SAMN16113911
,SAMN19901946
,SAMN19901947
,SAMN19901948
,SAMN19901949
,SAMN19901950
,SAMN19901957
,SAMN19901958
,SAMN19901959
,SAMN19901944
,SAMN19901945
,SAMN19901961
,SAMN19901962
,SAMN15825667
,SAMN15825668
,SAMN15825669
,SAMN12046599
,SAMN12046610
,SAMN12046609
,SAMN12046608
,SAMN12046607
,SAMN12046606
,SAMN12046605
,SAMN12046604
,SAMN12046603
,SAMN12046602
,SAMN12046601
,SAMN12046600
,SAMN12040109
,SAMN12040108
,SAMN12040107
,SAMN12040106
,SAMN12040113
,SAMN12040112
,SAMN12040111
,SAMN12040110
,SAMN12040115
,SAMN12040114
,SAMN12040117
,SAMN12040116
,SAMN12040119
,SAMN12040118
,SAMN12040121
,SAMN12040120
,SAMN12040123
,SAMN12040122
,SAMN13743073
,SAMN13743072
,SAMN13743071
,SAMN13743070
,SAMN13743069
,SAMN13743068
,SAMN13743067
,SAMN13743066
,SAMN13743065
,SAMN16293289
,SAMN16293288
,SAMN16293287
,SAMN16293286
,SAMN16293284
,SAMN16293283
,SAMN16294997
,SAMN16294996
,SAMN16294995
,SAMN16294994
,SAMN16294993
,SAMN16294992
,SAMN16294991
,SAMN16295017
,SAMN16295016
,SAMN16295015
,SAMN16295014
,SAMN16295013
,SAMN16295012
,SAMN16295011
,SAMN16295010
,SAMN16295009
,SAMN16295008
,SAMN16294990
,SAMN16295007
,SAMN16295006
,SAMN16295005
,SAMN16295004
,SAMN16295003
,SAMN16295002
,SAMN16295001
,SAMN16295000
,SAMN16294999
,SAMN16294998
,SAMN16294989
,SAMN16294988
,SAMN14277246
,SAMN14277285
,SAMN14277284
,SAMN14277283
,SAMN14277282
,SAMN14277281
,SAMN14277280
,SAMN14277279
,SAMN14277278
,SAMN14272045
,SAMN14272044
,SAMN14272043
,SAMN14272031
,SAMN14272030
,SAMN14272025
,SAMN14272029
,SAMN14272028
,SAMN14272027
,SAMN14272026
,SAMN14272024
,SAMN16427381
,SAMN16427380
,SAMN16427379
,SAMN16427378
,SAMN16427377
,SAMN16427376
,SAMN16427375
,SAMN16427399
,SAMN16427398
,SAMN16427397
,SAMN16427396
,SAMN16427395
,SAMN16427394
,SAMN16427393
,SAMN16427392
,SAMN16427374
,SAMN16427391
,SAMN16427390
,SAMN16427389
,SAMN16427388
,SAMN16427387
,SAMN16427386
,SAMN16427385
,SAMN16427384
,SAMN16427383
,SAMN16427382
,SAMN16427373
,SAMN16427372
,SAMN16424911
,SAMN16424910
,SAMN16424909
,SAMN16424908
,SAMN16424907
,SAMN16424906
,SAMN16424905
,SAMN16424904
,SAMN16424903
,SAMN16424528
,SAMN16424527
,SAMN16424526
,SAMN16424525
,SAMN16424524
,SAMN16424523
,SAMN16424522
,SAMN16424521
,SAMN14074111
,SAMN14074111
,SAMN14074110
,SAMN14074110
,SAMN14074111
,SAMN14074110
,SAMD00222772
,SAMD00222773
,SAMD00222774
,SAMD00222778
,SAMD00222779
,SAMD00222780
,SAMD00222775
,SAMD00222776
,SAMD00222777
,SAMN15835459
,SAMN15835458
,SAMN16198190
,SAMN16198191
,SAMN16198190
,SAMN16198190
,SAMN16198190
,SAMN16198190
,SAMN16198190
,SAMN16198190
,SAMN16198191
,SAMN16198191
,SAMN16198191
,SAMN16198190
,SAMN16198191
,SAMN16198191
,SAMN16198191
,SAMN16198191
,SAMN16198191
,SAMN16198191
,SAMN16198191
,SAMN16198191
,SAMN16198190
,SAMN16198190
,SAMN16198190
,SAMN16198190
,SAMN16132144
,SAMN16132143
,SAMN16132142
,SAMN16132141
,SAMN16132140
,SAMN16132139
,SAMN16132138
,SAMN16132137
,SAMN16132146
,SAMN16132145
,SAMN16132136
,SAMN16132135
,SAMN16086461
,SAMN16086460
,SAMN16086459
,SAMN16086458
,SAMN16086457
,SAMN16086456
,SAMN16089606
,SAMN16089602
,SAMN16089601
,SAMN16089603
,SAMN16089605
,SAMN16089611
,SAMN16089610
,SAMN16089612
,SAMN16089608
,SAMN16089607
,SAMN16089609
,SAMN16089611
,SAMN16089610
,SAMN16089604
,SAMN16089612
,SAMN16089608
,SAMN16089607
,SAMN16089609
,SAMN16089611
,SAMN16089610
,SAMN16089612
,SAMN16089608
,SAMN16089607
,SAMN16089609
,SAMN16089606
,SAMN16089611
,SAMN16089610
,SAMN16089612
,SAMN16089608
,SAMN16089607
,SAMN16089609
,SAMN16089605
,SAMN16089604
,SAMN16089606
,SAMN16089602
,SAMN16089602
,SAMN16089601
,SAMN16089603
,SAMN16089605
,SAMN16089604
,SAMN16089606
,SAMN16089602
,SAMN16089601
,SAMN16089603
,SAMN16089605
,SAMN16089604
,SAMN16089601
,SAMN16089603
,SAMN14070099
,SAMN14070098
,SAMN14070097
,SAMN14070096
,SAMN14070095
,SAMN14070094
,SAMN13173010
,SAMN13173248
,SAMN13173867
,SAMN13173809
,SAMN13172370
,SAMN13172371
,SAMN13172368
,SAMN13173250
,SAMN13172788
,SAMN13173008
,SAMN13172372
,SAMN13172787
,SAMN13173009
,SAMN13172369
,SAMN13173249
,SAMN15963235
,SAMN15963234
,SAMN15963233
,SAMN15963232
,SAMN15963231
,SAMN15963230
,SAMN15963229
,SAMN15963228
,SAMN15963237
,SAMN15963236
,SAMN15963227
,SAMN15963226
,SAMN15945237
,SAMN15945237
,SAMN15945237
,SAMN20000649
,SAMN20000648
,SAMN20000647
,SAMN20000646
,SAMN20000645
,SAMN20000644
,SAMN20000643
,SAMN20000642
,SAMN20000657
,SAMN20000656
,SAMN20000655
,SAMN20000654
,SAMN20000653
,SAMN20000652
,SAMN20000651
,SAMN20000650
,SAMN20000641
,SAMN20000640
,SAMN16226304
,SAMN16226303
,SAMN16226302
,SAMN16226301
,SAMN16226300
,SAMN16226299
,SAMN14069580
,SAMN14069579
,SAMN14069578
,SAMN14069577
,SAMN14069576
,SAMN14069575
,SAMN22612659
,SAMN22627653
,SAMN22627948
,SAMN20967667
,SAMN20967646
,SAMN20967645
,SAMN20967644
,SAMN20967642
,SAMN20967643
,SAMN16807201
,SAMN16807200
,SAMN18559422
,SAMN18559421
,SAMN18559420
,SAMN18559419
,SAMN18559418
,SAMN18559417
,SAMN18559416
,SAMN18559415
,SAMN18559414
,SAMN19653536
,SAMN19653760
,SAMN19653762
,SAMN19653799
,SAMN19653800
,SAMN19653801
,SAMN19653918
,SAMN19653973
,SAMN19653998
,SAMN19653999
,SAMN19654000
,SAMN19652394
,SAMN19654002
,SAMN19654003
,SAMN19654013
,SAMN19654014
,SAMN19654015
,SAMN19654016
,SAMN19654017
,SAMN19654018
,SAMN19654019
,SAMN19654020
,SAMN19653580
,SAMN19654021
,SAMN19654029
,SAMN19663684
,SAMN19663691
,SAMN19663692
,SAMN19653582
,SAMN19653583
,SAMN19653584
,SAMN19653585
,SAMN19653586
,SAMN19653757
,SAMN19652248
,SAMN14409621
,SAMN14409620
,SAMN14409619
,SAMN14409618
,SAMN14409617
,SAMN14409616
,SAMN14409615
,SAMN14409614
,SAMN14409623
,SAMN14409622
,SAMN14409613
,SAMN14409612
,SAMN16805673
,SAMN16805673
stress,SAMN12868631
stress,SAMN12868630
stress,SAMN12868629
stress,SAMN12868628
stress,SAMN12868673
stress,SAMN12868672
stress,SAMN12868627
stress,SAMN12868671
stress,SAMN12868670
stress,SAMN12868669
stress,SAMN12868668
stress,SAMN12868667
stress,SAMN12868666
stress,SAMN12868665
stress,SAMN12868664
stress,SAMN12868663
stress,SAMN12868662
stress,SAMN12868626
stress,SAMN12868661
stress,SAMN12868660
stress,SAMN12868659
stress,SAMN12868658
stress,SAMN12868657
stress,SAMN12868656
stress,SAMN12868655
stress,SAMN12868654
stress,SAMN12868653
stress,SAMN12868652
stress,SAMN12868625
stress,SAMN12868651
stress,SAMN12868650
,SAMN12868649
,SAMN12868648
,SAMN12868647
stress,SAMN12868646
stress,SAMN12868645
stress,SAMN12868644
stress,SAMN12868643
stress,SAMN12868642
,SAMN12868624
stress,SAMN12868641
stress,SAMN12868640
stress,SAMN12868639
stress,SAMN12868638
stress,SAMN12868637
stress,SAMN12868636
stress,SAMN12868635
stress,SAMN12868634
stress,SAMN12868633
stress,SAMN12868632
,SAMN12868623
,SAMN12868622
,SAMN12989345
,SAMN12989344
,SAMN12989343
,SAMN12989342
,SAMN12989341
,SAMN12989340
,SAMN12989339
,SAMN12989338
,SAMN12989337
,SAMN17349251
,SAMN17349250
,SAMN17349249
,SAMN17349248
,SAMN17349247
,SAMN17349246
,SAMN17349245
,SAMN17349244
,SAMN17349253
,SAMN17349252
,SAMN17349243
,SAMN17349242
,SAMN17360595
,SAMN17360594
,SAMN17360593
,SAMN17360592
,SAMN17360598
,SAMN17360597
,SAMN17360596
,SAMN11233123
,SAMN11233106
,SAMN11233107
,SAMN17311459
,SAMN17311458
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN12861902
,SAMN15142310
,SAMN15142309
,SAMN15142308
,SAMN15142307
,SAMN15142312
,SAMN15142311
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
con,SAMN11461638
con,SAMN11461637
con,SAMN11461636
con,SAMN11461635
con,SAMN11461634
con,SAMN11461633
con,SAMN11461632
con,SAMN11461631
con,SAMN11461630
con,SAMN11461629
con,SAMN11476347
con,SAMN11476346
con,SAMN11476345
stress,SAMN11476344
stress,SAMN11476343
stress,SAMN11476342
con,SAMN11476341
con,SAMN11476340
con,SAMN11476395
stress,SAMN11476394
stress,SAMN11476393
stress,SAMN11476392
,SAMN13107057
,SAMN13107054
,SAMN13107053
,SAMN13107052
,SAMN13107051
,SAMN13107050
,SAMN13107049
,SAMN13107048
,SAMN13107060
,SAMN13107059
,SAMN13107039
,SAMN13107028
,SAMD00161792
con,SAMD00161793
,SAMD00161794
con,SAMD00161795
,SAMD00161796
con,SAMD00161797
,SAMD00161798
con,SAMD00161799
,SAMN14642240
,SAMN14642239
,SAMN14642238
,SAMN14642237
con,SAMN14642236
con,SAMN14642235
,SAMN03389610
,SAMN03389597
,SAMN03389609
,SAMN03389589
,SAMN03389606
,SAMN03389599
,SAMN03389605
,SAMN03389600
,SAMN03389587
,SAMN03389590
,SAMN03389591
,SAMN03389603
,SAMN03389607
,SAMN03389594
,SAMN03389612
,SAMN03389593
,SAMN03389611
,SAMN03389601
,SAMN03389613
,SAMN03389595
,SAMEA5071879
,SAMEA5071880
,SAMEA5071881
stress,SAMN15456427
stress,SAMN15456426
stress,SAMN15456425
stress,SAMN15456424
stress,SAMN15456423
stress,SAMN15456422
stress,SAMN15456421
stress,SAMN15456420
stress,SAMN15456431
stress,SAMN15456430
stress,SAMN15456429
stress,SAMN15456428
,SAMN11536760
,SAMN11536759
,SAMN11536758
,SAMN11536757
,SAMN11536756
,SAMN11536755
,SAMN11536754
,SAMN11536753
,SAMN11536752
,SAMN11536751
,SAMN11536750
,SAMN11536749
,SAMN11536748
,SAMN11536747
,SAMN11536781
,SAMN11536780
,SAMN11536779
,SAMN11536778
,SAMN11536746
,SAMN11536783
,SAMN11536782
,SAMN11536777
,SAMN11536776
,SAMN11536775
,SAMN11536774
,SAMN11536773
,SAMN12727387
,SAMN12727386
,SAMN12727385
,SAMN12727384
,SAMN12727383
,SAMN12727382
,SAMN12727381
,SAMN12727380
,SAMN12727379
,SAMN12727378
,SAMN12727377
,SAMN12727376
,SAMN12727375
,SAMN12727374
,SAMN12727373
,SAMN12727372
,SAMN12727371
,SAMN12727370
,SAMN12727369
,SAMN12727368
,SAMN11045866
,SAMN11045866
,SAMN11045866
,SAMN11045866
,SAMN11045866
,SAMN11045866
con,SAMD00235524
con,SAMD00235525
con,SAMD00235526
con,SAMD00235527
con,SAMD00235528
con,SAMD00235529
con,SAMD00235530
con,SAMD00235531
,SAMD00235532
,SAMD00235533
,SAMD00235534
,SAMD00235535
,SAMD00235536
,SAMD00235537
,SAMD00235538
,SAMD00235539
,SAMD00235540
,SAMD00235541
,SAMD00235542
,SAMD00235543
,SAMD00235544
,SAMD00235545
,SAMD00235546
,SAMD00235547
,SAMN17141048
,SAMN17141047
,SAMN17141046
,SAMN17141045
,SAMN17141044
,SAMN17141043
,SAMN17141042
,SAMN17141041
,SAMN17141050
,SAMN17141049
,SAMN17141040
,SAMN17141039
,SAMN15464742
,SAMN15464741
,SAMN15464740
,SAMN15464739
,SAMN15464738
,SAMN15464737
,SAMN15464736
,SAMN15464735
,SAMN15464734
,SAMN15464733
,SAMN15464732
,SAMN15464731
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN13108101
,SAMN11513550
,SAMN11513547
,SAMN11513549
,SAMN11513548
,SAMN11513555
,SAMN11513553
,SAMN11513554
,SAMN11513546
,SAMN11513557
,SAMN11513558
,SAMN11513545
,SAMN11513556
,SAMN11513551
,SAMN11513552
,SAMN11513559
,SAMN17612241
,SAMN17612240
,SAMN17612239
,SAMN17612238
,SAMN17612237
,SAMN17612236
,SAMN17612235
,SAMN17612234
,SAMN17612248
,SAMN17612247
,SAMN17612246
,SAMN17612245
,SAMN17612244
,SAMN17612243
,SAMN17612242
,SAMN17612233
,SAMN17612232
,SAMN13089901
,SAMN13089900
,SAMN13089899
,SAMN13089898
,SAMN13089897
,SAMN13089896
,SAMN13089895
,SAMN13089914
,SAMN13089913
,SAMN13089912
,SAMN13089894
,SAMN13089911
,SAMN13089910
,SAMN13089909
,SAMN13089908
,SAMN13089907
,SAMN13089906
,SAMN13089905
,SAMN13089904
,SAMN13089903
,SAMN13089902
,SAMN13089893
,SAMN13089892
stress,SAMN17521702
stress,SAMN17521701
stress,SAMN17521700
stress,SAMN17521699
,SAMN17521698
,SAMN17521697
stress,SAMN17492742
stress,SAMN17492740
stress,SAMN17492739
stress,SAMN17492737
stress,SAMN17492736
stress,SAMN17492734
,SAMN17496808
con,SAMN13104244
con,SAMN13104243
con,SAMN13104242
,SAMN13104241
,SAMN13104240
,SAMN13104239
,SAMN13104260
,SAMN13104259
,SAMN13104258
,SAMN13108101
,SAMN13112829
,SAMN13108101
,SAMN14981344
,SAMN14981344
,SAMN14981344
,SAMN14918706
,SAMN14918705
,SAMN14918704
,SAMN14918703
,SAMN14918702
,SAMN14918701
,SAMN12600379
,SAMN12600378
,SAMN12600377
,SAMN12600414
,SAMN12600413
,SAMN12600412
,SAMN12600411
,SAMN12600410
,SAMN12600409
,SAMN12600408
,SAMN12600407
,SAMN12600406
,SAMN12600405
,SAMN12600404
,SAMN12600403
,SAMN12600402
,SAMN12600401
,SAMN12600400
,SAMN17266875
,SAMN17266875
,SAMN11371495
,SAMN11371516
,SAMN11371515
,SAMN11371514
,SAMN11371513
,SAMN11371512
,SAMN11371511
,SAMN11371510
,SAMN11371509
,SAMN11371508
,SAMN11371507
,SAMN11371506
,SAMN11371505
,SAMN11371504
,SAMN11371503
,SAMN11371502
,SAMN11371501
,SAMN11371500
,SAMN11371499
,SAMN11371498
,SAMN11371497
,SAMN11371496
,SAMN11371518
,SAMN11371517
,SAMN15350938
,SAMN15350937
,SAMN15350936
,SAMN15350935
stress,SAMN15350934
stress,SAMN15350933
stress,SAMN15350932
con,SAMN15350931
,SAMN15350940
,SAMN15350939
con,SAMN15350930
con,SAMN15350929
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN12622420
,SAMN17205607
,SAMN17205606
,SAMN17205605
,SAMN17205604
,SAMN17205603
,SAMN17205602
,SAMN17205601
,SAMN17205600
,SAMN17205615
,SAMN17205614
,SAMN17205613
,SAMN17205612
,SAMN17205611
,SAMN17205610
,SAMN17205609
,SAMN17205608
